iter	Passed	Remaining
591	945	651
592	946	649
593	947	647
594	949	646
595	950	644
596	951	642
597	952	640
598	953	638
599	955	636
600	956	634
601	957	633
602	958	631
603	960	629
604	961	627
605	961	625
606	962	623
607	963	621
608	965	619
609	966	617
610	967	615
611	968	613
612	969	611
613	970	609
614	971	607
615	972	606
616	973	604
617	974	602
618	975	600
619	976	598
620	977	596
621	978	594
622	979	592
623	980	590
624	981	588
625	982	586
626	983	584
627	984	582
628	985	581
629	986	579
630	987	577
631	988	575
632	989	573
633	990	571
634	991	570
635	992	568
636	993	566
637	994	564
638	995	562
639	997	561
640	999	559
641	999	557
642	1001	556
643	1002	554
644	1004	552
645	1005	550
646	1006	548
647	1007	547
648	1007	545
649	1008	543
650	1010	541
651	1011	539
652	1012	537
653	1013	536
654	1014	534
655	1015	532
656	1016	530
657	1017	528
658	1018	526
659	1019	525
660	1020	523
661	1021	521
662	1022	519
663	1023	517
664	1024	515
665	1025	514
666	1026	512
667	1027	510
668	1028	508
669	1029	507
670	1030	505
671	1031	503
672	1032	501
673	1033	500
674	1034	498
675	1035	496
676	1036	494
677	1037	492
678	1038	491
679	1039	489
680	1041	487
681	1042	485
682	1043	484
683	1044	482
684	1045	480
685	1046	478
686	1047	477
687	1048	475
688	1048	473
689	1049	471
690	1050	469
691	1051	468
692	1052	466
693	1053	464
694	1054	462
695	1055	461
696	1057	459
697	1058	457
698	1059	456
699	1060	454
700	1061	452
701	1062	450
702	1063	449
703	1064	447
704	1065	445
705	1066	443
706	1066	442
707	1067	440
708	1068	438
709	1069	436
710	1070	435
711	1072	433
712	1073	431
713	1074	430
714	1075	428
715	1076	426
716	1077	425
717	1078	423
718	1079	421
719	1080	420
720	1081	418
721	1082	416
722	1083	414
723	1083	413
724	1084	411
725	1086	409
726	1087	408
727	1088	406
728	1089	405
729	1090	403
730	1091	401
731	1092	400
732	1093	398
733	1094	396
734	1095	395
735	1096	393
736	1097	391
737	1098	389
738	1099	388
739	1100	386
740	1101	385
741	1102	383
742	1103	381
743	1104	380
744	1105	378
745	1106	376
746	1108	375
747	1109	373
748	1110	372
749	1111	370
750	1113	369
751	1114	367
752	1115	365
753	1117	364
754	1118	362
755	1119	361
756	1120	359
757	1121	358
758	1122	356
759	1123	354
760	1124	353
761	1125	351
762	1126	349
763	1127	348
764	1128	346
765	1129	344
766	1130	343
767	1131	341
768	1133	340
769	1134	338
770	1135	337
771	1136	335
772	1137	334
773	1138	332
774	1140	330
775	1141	329
776	1142	327
777	1143	326
778	1144	324
779	1145	323
780	1146	321
781	1147	319
782	1148	318
783	1149	316
784	1150	315
785	1151	313
786	1152	311
787	1153	310
788	1154	308
789	1155	307
790	1156	305
791	1157	304
792	1158	302
793	1159	300
794	1160	299
795	1161	297
796	1162	296
797	1163	294
798	1164	293
799	1165	291
800	1166	289
801	1167	288
802	1168	286
803	1169	285
804	1170	283
805	1171	282
806	1172	280
807	1173	278
808	1174	277
809	1175	275
810	1176	274
811	1177	272
812	1178	271
813	1179	269
814	1180	268
815	1181	266
816	1182	264
817	1183	263
818	1184	261
819	1185	260
820	1186	258
821	1187	257
822	1188	255
823	1189	254
824	1191	252
825	1192	251
826	1193	249
827	1194	248
828	1195	246
829	1196	245
830	1197	243
831	1198	242
832	1199	240
833	1201	239
834	1202	237
835	1203	236
836	1204	234
837	1204	232
838	1205	231
839	1207	229
840	1208	228
841	1209	226
842	1210	225
843	1211	223
844	1212	222
845	1213	220
846	1214	219
847	1215	217
848	1216	216
849	1217	214
850	1218	213
851	1219	211
852	1220	210
853	1221	208
854	1222	207
855	1223	205
856	1224	204
857	1225	202
858	1226	201
859	1227	199
860	1228	198
861	1229	196
862	1230	195
863	1231	193
864	1232	192
865	1233	190
866	1234	189
867	1235	187
868	1236	186
869	1237	184
870	1239	183
871	1240	182
872	1241	180
873	1242	179
874	1244	177
875	1246	176
876	1247	174
877	1249	173
878	1250	172
879	1251	170
880	1252	169
881	1253	167
882	1254	166
883	1255	164
884	1256	163
885	1257	161
886	1258	160
887	1259	158
888	1260	157
889	1261	155
890	1263	154
891	1264	153
892	1265	151
893	1265	150
894	1266	148
895	1267	147
896	1269	145
897	1270	144
898	1271	142
899	1272	141
900	1273	139
901	1273	138
902	1275	136
903	1276	135
904	1277	134
905	1278	132
906	1279	131
907	1280	129
908	1281	128
909	1283	126
910	1284	125
911	1286	124
912	1287	122
913	1288	121
914	1289	119
915	1290	118
916	1291	116
917	1293	115
918	1294	114
919	1295	112
920	1296	111
921	1298	109
922	1299	108
923	1301	107
924	1302	105
925	1303	104
926	1304	102
927	1306	101
928	1307	99
929	1308	98
930	1310	97
931	1311	95
932	1312	94
933	1314	92
934	1315	91
935	1317	90
936	1318	88
937	1319	87
938	1321	85
939	1322	84
940	1323	83
941	1325	81
942	1326	80
943	1327	78
944	1329	77
945	1331	75
946	1332	74
947	1334	73
948	1335	71
949	1336	70
950	1338	68
951	1339	67
952	1341	66
953	1342	64
954	1343	63
955	1345	61
956	1347	60
957	1348	59
958	1349	57
959	1351	56
960	1352	54
961	1353	53
962	1355	52
963	1356	50
964	1358	49
965	1359	47
966	1362	46
967	1364	45
968	1365	43
969	1366	42
970	1368	40
971	1370	39
972	1373	38
973	1375	36
974	1377	35
975	1378	33
976	1379	32
977	1381	31
978	1382	29
979	1383	28
980	1384	26
981	1386	25
982	1387	23
983	1388	22
984	1390	21
985	1391	19
986	1392	18
987	1393	16
988	1395	15
989	1396	14
990	1397	12
991	1398	11
992	1399	9
993	1401	8
994	1402	7
995	1403	5
996	1405	4
997	1406	2
998	1408	1
999	1409	0
